0
Phylum CHORDATA
Class CHONDRICHTHYES
Order ORECTOLOBIFORMES
Family Ginglymostomatidae
"Ginglymostoma unami Moral-Flores, Ramírez-Antonio, Angulo &"
Order MYCTOPHIFORMES
Family Neoscopelidae
"Scopelengys tristis Alcock, 1890"
Family Myctophidae
"Diaphus pacificus Parr, 1931"
"Diogenichthys laternatus (Garman, 1899)"
"Gonichthys tenuiculus (Garman, 1899)"
"Lampanyctus omostigma Gilbert, 1908"
"Myctophum aurolaternatum (Garman, 1899)"
"Myctophum nitidulum Garman, 1899"
"Nannobrachium idostigma (Parr, 1931)"
"Notolychnus valdiviae (Brauer, 1904)"
Protomyctophum sp.
"Symbolophorus evermanni  (Gilbert, 1905)"
"Symbolophorus reversus Gago & Ricord, 2005"
"Triphoturus mexicanus (Gilbert, 1890)"
Order GADIFORMES
Family Bregmacerotidae
"Bregmaceros bathymaster (Jordan & Bollman, 1890)"
Family Macrouridae
"Caelorinchus canus (Garman, 1899)"
"Coryphaenoides anguliceps (Garman, 1899)"
"Coryphaenoides boops (Garman, 1899)"
"Coryphaenoides bucephalus (Garman, 1899)"
"Coryphaenodes bulbiceps (Garman, 1899)"
"Coryphaenoides delsolari Chirichigno F. & Iwamoto, 1977"
"Mataeocephalus tenuicaudus (Garman, 1899)"
"Nezumia convergens (Garman, 1899)"
Family Moridae
Laemonema sp.
Physiculus sp.
Family Merlucciidae
"Merluccius angustimanus Garman, 1899"
"Merluccius gayi gayi (Guichenot, 1848)"
Order OPHIDIIFORMES
Family Carapidae
"Echiodon exsilium Rosenblatt, 1961"
Family Ophidiidae
"Brotulotaenia nielseni Cohen, 1974"
Lepophidium pardale (Gilbert 1890)
Ophidion sp.
"Otophidium indefatigabile Jordan & Bollman, 1890"
"Porogadus atripectus Garman, 1899"
Family Bythitidae
Cataetyx simus Garman 1899
Family Aphyonidae
Sciadonus pedicellaris Garman 1899
Order LOPHIIFORMES
Family Lophiidae
"Lophiodes caulinaris (Garman, 1899)"
"Lophiodes spilurus (Garman, 1899)"
"Lophiomus setigerus (Vahl, 1797)"
Family Chaunacidae
Chaunacops coloratus (Garman 1899)
Family Ogcocephalidae
"Dibranchus crasens Bradbury, McCosker & Long, 1999"
"Dibranchus erinaceus (Garman, 1899)"
"Dibranchus hystrix Garman, 1899"
"Zalieutes elater (Jordan & Gilbert, 1882)"
Family Oneirodidae
"Dolopichthys allector Garman, 1899"
Family Linophrynidae
"Linophryne arcturi (Beebe, 1926)"
Order MUGILIFORMES
Family Mugilidae
"Agonostomus monticola (Brancroft, 1834)**"
"Mugil cephalus Linnaeus, 1758"
Order BELONIFORMES
Family Exocoetidae
"Cheilopogon cyanopterus (Valenciennes, 1847)"
"Cheilopogon furcatus (Mitchill, 1815)"
"Cheilopogon spilonotopterus (Bleeker, 1866)"
"Cheilopogon xenopterus (Gilbert, 1890)"
"Cypselurus callopterus (Günther, 1866)"
"Exocoetus monocirrhus (Richardson, 1846)"
"Exocoetus volitans (Linnaeus, 1758)"
"Hirundichthys marginatus (Nichols & Breder, 1928)"
"Hirundichthys rondeletii (Valenciennes, 1846)"
"Hirundichthys speculiger (Valenciennes, 1846)"
"Parexocoetus brachypterus (Richardson, 1846)"
"Prognichthys sealei (Abe, 1955)"
"Prognichthys tringa Breder, 1928"
Family Hemiramphidae
"Euleptorhamphus viridis (Van Hasselt, 1823)"
"Hemiramphus saltator Gilbert & Starks, 1904"
"Hyporhamphus gilli Meek & Hildebrand, 1923"
"Hyporhamphus rosae (Jordan & Gilbert, 1880)"
"Oxyporhamphus micropterus (Valenciennes, 1847)"
Family Belonidae
"Ablennes hians (Valenciennes, 1846)"
"Platybelone argalus pterura  (Osburn & Nichols, 1916)"
"Strongylura exilis (Girard, 1854)"
"Tylosurus acus melanotus (Bleeker, 1850)"
"Tylosurus pacificus (Steindachner, 1876)"
Order GASTEROSTEIFORMES
Family Syngnathidae
"Syngnathus auliscus (Swain, 1882)"
Family Fistulariidae
"Fistularia corneta Gilbert & Starks, 1904"
Order SCORPAENIFORMES
Family Scorpaenidae
"Pontinus clemensi Fitch, 1955"
Pontinus new species
"Pontinus sierra Gilbert, 1890"
Scorpaena new species
"Scorpaena russula Jordan & Bollman, 1890"
Family Triglidae
Bellator new species
"Bellator farrago Richards & McCosker, 1998"
"Bellator loxias (Jordan, 1897)"
Prionotus new species
Family Peristediidae
"Peristedion crustosum Garman, 1899"
"Peristedion nesium Bussing, 2010"
Family Liparidae
"Paraliparis attenuatus Garman, 1899"
Order PERCIFORMES
Family Coryphaenidae
"Coryphaena equiselis (Linnaeus, 1758)"
"Coryphaena hippurus (Linnaeus, 1758)"
Family Echeneidae
"Phtheirichthys lineatus (Menzies, 1791)"
"Remora australis (Bennett, 1840)"
"Remora brachyptera (Lowe, 1839)"
"Remora osteochir (Cuvier, 1829)"
"Remora remora (Linnaeus, 1758)"
"Remorina albescens (Temminck & Schlegel, 1850)"
Family Carangidae
"Decapterus macarellus (Cuvier, 1833)"
"Naucrates ductor (Linnaeus, 1758)"
