ID,Full_Name,Genus,Species,Genus_species,NC
921,"Plectranthias kamii Randall, 1980 ",Plectranthias,kamii,Plectranthias kamii,Present
922,"Plectranthias kelloggi (Jordan & Evermann, 1903) ",Plectranthias,kelloggi,Plectranthias kelloggi,Present
923,"Plectranthias longimanus (Weber, 1913) ",Plectranthias,longimanus,Plectranthias longimanus,Present
924,"Plectranthias megalophthalmus Fourmanoir & Randall, 1979 ",Plectranthias,megalophthalmus,Plectranthias megalophthalmus,Present
925,"Plectranthias nanus Randall, 1980 ",Plectranthias,nanus,Plectranthias nanus,Present
926,"Plectranthias randalli Fourmanoir & Rivaton, 1980 ",Plectranthias,randalli,Plectranthias randalli,Present
927,"Plectranthias retrofasciatus Fourmanoir & Randall, 1979 ",Plectranthias,retrofasciatus,Plectranthias retrofasciatus,Endemic
928,"Plectranthias rubrifasciatus Fourmanoir & Randall, 1979 ",Plectranthias,rubrifasciatus,Plectranthias rubrifasciatus,Present
929,"Plectranthias wheeleri Randall, 1980 ",Plectranthias,wheeleri,Plectranthias wheeleri,Present
930,"Plectranthias winniensis (Tyler, 1966) ",Plectranthias,winniensis,Plectranthias winniensis,Present
931,"Plectropomus areolatus Rüppell, 1830 ",Plectropomus,areolatus,Plectropomus areolatus,Present
932,"Plectropomus laevis (Lacepède [ex Commerson], 1801) ",Plectropomus,laevis,Plectropomus laevis,Present
933,"Plectropomus leopardus (Lacepède, 1802) ",Plectropomus,leopardus,Plectropomus leopardus,Present
934,"Pogonoperca punctata (Valenciennes in Cuvier & Valenciennes, 1830) ",Pogonoperca,punctata,Pogonoperca punctata,Present
935,"Pseudanthias bicolor (Randall, 1979) ",Pseudanthias,bicolor,Pseudanthias bicolor,Present
936,"Pseudanthias cooperi (Regan, 1902) ",Pseudanthias,cooperi,Pseudanthias cooperi,Present
937,"Pseudanthias elongatus (Franz, 1910) ",Pseudanthias,elongatus,Pseudanthias elongatus,Present
938,"Pseudanthias engelhardi (Allen & Starck, 1982) ",Pseudanthias,engelhardi,Pseudanthias engelhardi,Present
939,"Pseudanthias flavicauda Randall & Pyle, 2001 ",Pseudanthias,flavicauda,Pseudanthias flavicauda,Present
940,"Pseudanthias hypselosoma Bleeker, 1878 ",Pseudanthias,hypselosoma,Pseudanthias hypselosoma,Present
941,"Pseudanthias lori (Lubbock & Randall in Fourmanoir & Laboute, 1976) ",Pseudanthias,lori,Pseudanthias lori,Present
942,"Pseudanthias pascalus (Jordan & Tanaka, 1927) ",Pseudanthias,pascalus,Pseudanthias pascalus,Present
943,"Pseudanthias pictilis (Randall & Allen, 1978) ",Pseudanthias,pictilis,Pseudanthias pictilis,Present
944,"Pseudanthias pleurotaenia (Bleeker, 1857) ",Pseudanthias,pleurotaenia,Pseudanthias pleurotaenia,Present
945,"Pseudanthias randalli (Lubbock & Allen, 1978) ",Pseudanthias,randalli,Pseudanthias randalli,Present
946,"Pseudanthias rubrizonatus (Randall, 1983) ",Pseudanthias,rubrizonatus,Pseudanthias rubrizonatus,Present
947,"Pseudanthias rubrolineatus (Fourmanoir & Rivaton, 1979) ",Pseudanthias,rubrolineatus,Pseudanthias rubrolineatus,Endemic
948,"Pseudanthias squamipinnis (Peters, 1855) ",Pseudanthias,squamipinnis,Pseudanthias squamipinnis,Present
949,"Pseudanthias ventralis (Randall, 1979) ",Pseudanthias,ventralis,Pseudanthias ventralis,Present
950,"Pseudanthias xanthomaculatus (Fourmanoir & Rivaton, 1979) ",Pseudanthias,xanthomaculatus,Pseudanthias xanthomaculatus,Endemic
951,"Pseudogramma astigma Randall & Baldwin, 1997 ",Pseudogramma,astigma,Pseudogramma astigma,Present
952,"Pseudogramma polyacantha (Bleeker, 1856) ",Pseudogramma,polyacantha,Pseudogramma polyacantha,Present
953,"Sacura margaritacea (Hilgendorf, 1879) ",Sacura,margaritacea,Sacura margaritacea,Present
954,"Saloptia powelli Smith, 1964 ",Saloptia,powelli,Saloptia powelli,Present
955,"Selenanthias analis Tanaka, 1918 ",Selenanthias,analis,Selenanthias analis,Present
956,"Selenanthias barroi (Fourmanoir, 1982) ",Selenanthias,barroi,Selenanthias barroi,Present
957,"Serranocirrhitus latus Watanabe, 1949 ",Serranocirrhitus,latus,Serranocirrhitus latus,Present
958,"Suttonia lineata Gosline, 1960 ",Suttonia,lineata,Suttonia lineata,Present
959,"Variola albimarginata Baissac, 1953 ",Variola,albimarginata,Variola albimarginata,Present
960,"Variola louti (Forsskål in Niebuhr, 1775) ",Variola,louti,Variola louti,Present
961,"Ostracoberyx dorygenys Fowler, 1934 ",Ostracoberyx,dorygenys,Ostracoberyx dorygenys,Present
962,"Callanthias australis Ogilby, 1899 ",Callanthias,australis,Callanthias australis,Present
963,"Grammatonotus laysanus Gilbert, 1905 ",Grammatonotus,laysanus,Grammatonotus laysanus,Present
964,"Grammatonotus surugaensis Katayama, Yamakawa & Suzuki, 1980 ",Grammatonotus,surugaensis,Grammatonotus surugaensis,Present
965,"Cypho purpurascens (De Vis, 1884) ",Cypho,purpurascens,Cypho purpurascens,Present
966,"Lubbockichthys multisquamatus (Allen, 1987) ",Lubbockichthys,multisquamatus,Lubbockichthys multisquamatus,Present
967,"Ogilbyina salvati (Plessis & Fourmanoir, 1966) ",Ogilbyina,salvati,Ogilbyina salvati,Endemic
968,"Pictichromis coralensis Gill, 2004 ",Pictichromis,coralensis,Pictichromis coralensis,Present
969,"Pseudochromis cyanotaenia Bleeker, 1857 ",Pseudochromis,cyanotaenia,Pseudochromis cyanotaenia,Present
970,"Pseudochromis fuscus Müller & Troschel, 1849 ",Pseudochromis,fuscus,Pseudochromis fuscus,Present
971,"Pseudochromis jamesi Schultz, 1943 ",Pseudochromis,jamesi,Pseudochromis jamesi,Present
972,"Pseudochromis kolythrus Gill & Winterbottom, 1993 ",Pseudochromis,kolythrus,Pseudochromis kolythrus,Endemic
973,"Pseudochromis marshallensis Schultz in Schultz, Herald, Lachner, Welander & Woods, 1953 ",Pseudochromis,marshallensis,Pseudochromis marshallensis,Present
974,"Pseudochromis tapeinosoma Bleeker, 1853 ",Pseudochromis,tapeinosoma,Pseudochromis tapeinosoma,Present
975,"Pseudoplesiops howensis Allen, 1987 ",Pseudoplesiops,howensis,Pseudoplesiops howensis,Present
976,"Pseudoplesiops immaculatus Gill & Edwards, 2002 ",Pseudoplesiops,immaculatus,Pseudoplesiops immaculatus,Present
977,"Pseudoplesiops rosae Schultz, 1943 ",Pseudoplesiops,rosae,Pseudoplesiops rosae,Present
978,"Acanthoplesiops hiatti Schultz in Schultz, Herald, Lachner, Welander & Woods, 1953 ",Acanthoplesiops,hiatti,Acanthoplesiops hiatti,Present
979,"Assessor macneilli Whitley, 1935 ",Assessor,macneilli,Assessor macneilli,Present
980,"Belonepterygion fasciolatum (Ogilby, 1889) ",Belonepterygion,fasciolatum,Belonepterygion fasciolatum,Present
