Group,,Scientific Name,English Name
,335,Lutjanus quinquelineatus,Five-lined snapper
,336,Lutjanus rufolineatus,Yellow-lined snapper
,337,Lutjanus russellii,Russell's snapper
,338,Lutjanus semicinctus,Black-banded snapper
,339,Lutjanus timorensis,Timor snapper
,340,Lutjanus vitta,Brownstripe red snapper
,341,Luzonichthys waitei,Waite's splitfin
,342,Macolor macularis,Midnight snapper
,343,Macolor niger,Black and white snapper
,344,Macropharyngodon meleagris,Blackspotted wrasse
,345,Macropharyngodon negrosensis,Yellowspotted wrasse
,346,Malacanthus brevirostris,Quakerfish
,347,Malacanthus latovittatus,Blue blanquillo
,348,Meiacanthus atrodorsalis,Forktail blenny
,349,Meiacanthus ditrema,One-striped poison-fang blenny
,350,Meiacanthus vittatus,One-striped fangblenny
,351,Melichthys indicus,Indian triggerfish
,352,Melichthys niger,Black triggerfish
,353,Melichthys vidua,Pinktail triggerfish
,354,Monotaxis grandoculis,Humpnose big-eye bream
,355,Mulloidichthys vanicolensis,Yellowfin goatfish
,356,Myripristis adusta,Shadowfin soldierfish
,357,Myripristis amaena,Brick soldierfish
,358,Myripristis berndti,Blotcheye soldierfish
,359,Myripristis chryseres,Yellowfin soldierfish
,360,Myripristis hexagona,Doubletooth soldierfish
,361,Myripristis kuntee,Shoulderbar soldierfish
,362,Myripristis murdjan,Pinecone soldierfish
,363,Myripristis pralinia,Scarlet soldierfish
,364,Myripristis violacea,Lattice soldierfish
,365,Myripristis vittata,Whitetip soldierfish
,366,Naso annulatus,Whitemargin unicornfish
,367,Naso brachycentron,Humpback unicornfish
,368,Naso brevirostris,Spotted unicornfish
,369,Naso caeruleacauda,Blue unicorn
,370,Naso fageni,Horseface unicornfish
,371,Naso hexacanthus,Sleek unicornfish
,372,Naso lituratus,Orangespine unicornfish
,373,Naso lopezi,Elongate unicornfish
,374,Naso minor,Slender unicorn
,375,Naso thynnoides,Oneknife unicornfish
,376,Naso unicornis,Bluespine unicornfish
,377,Naso vlamingii,Bignose unicornfish
,378,Nectamia bandanensis,Bigeye cardinalfish
,379,Nemateleotris decora,Elegant firefish
,380,Nemateleotris magnifica,Fire goby
,381,Neoglyphidodon crossi,Cross' damsel
,382,Neoglyphidodon melas,Bowtie damselfish
,383,Neoglyphidodon nigroris,Black-and-gold chromis
,384,Neoglyphidodon oxyodon,Bluestreak damselfish; Blue-streak damsel; Bluebanded damselfish; Bluevelvet damselfish; Java damsel; Javanese damsel; Javanese damselfish
,385,Neoglyphidodon thoracotaeniatus,Barhead damsel; Bar-cheek damsel; Western barhead damselfish
,386,Neoniphon argenteus,Clearfin squirrelfish; Silver Squirrelfish; Blackfin Squirrelfish; Smooth Squirrelfish
,387,Neoniphon opercularis,Blackfin squirrelfish; Mouth-fin Squirrelfish; Clearfin Squirrelfish
,388,Neoniphon sammara,"Sammara squirrelfish; Spot-fin Squirrelfish; Javelin Squirrel-fish, Armed Squirrel-fish; Blood-spot Squirrelfish"
,389,Neopomacentrus anabatoides,Silver demoiselle
,390,Neopomacentrus azysron,Yellow-tail demoiselle
,391,Neopomacentrus cyanomos,Regal demoiselle
