OpCode,Family,Species,Longitude,Latitude
BR19,Serranidae,Variola louti,46.223123,-9.469808
BR19,Serranidae,Variola albimarginata,46.223123,-9.469808
BR19,Labridae,Thalassoma lunare,46.223123,-9.469808
BR19,Labridae,Thalassoma hebraicum,46.223123,-9.469808
BR19,Labridae,Thalassoma amblycephalum,46.223123,-9.469808
BR19,Balistidae,Sufflamen chrysopterum,46.223123,-9.469808
BR19,Labridae,Stethojulis interrupta,46.223123,-9.469808
BR19,Carangidae,Scomberoides lysan,46.223123,-9.469808
BR19,Scaridae,Scarus rubroviolaceus,46.223123,-9.469808
BR19,Scaridae,Scarus psittacus,46.223123,-9.469808
BR19,Labridae,Pseudodax moluccanus,46.223123,-9.469808
BR19,Labridae,Pseudocheilinus hexataenia,46.223123,-9.469808
BR19,Labridae,Pseudocheilinus evanidus,46.223123,-9.469808
BR19,Pomacentridae,Pomacentrus caeruleus,46.223123,-9.469808
BR19,Pomacanthidae,Pomacanthus imperator,46.223123,-9.469808
