Species,S,N,FO%,SL (mm),TW (g),Locality
"4Gyrinomimus bruuni Rofen, 1959",2,2.0,1.2,63 (60–66),8.6 (1.2–16.1),FNR
Melamphaidae,,,,,,
"4Melamphaes eulepis Ebeling, 1962",2,10.0,4.9,43 (35–47),20.3 (10.8–24.6),FNR
"4Melamphaes leprus Ebeling, 1962",2,1.0,1.2,80,14.0,FNR
"4Melamphaes longivelis Parr, 1933",2,2.0,2.4,75 (74–75),46.8 (8.0–85.7),FNR
"Melamphaes polylepis Ebeling, 1962",2,37.0,9.8,53 (36–70),34.1 (2.0–60.0),FNR-PE
"Melamphaes typhlops (Lowe, 1843)",2,7.0,7.3,54 (37–71),31.6 (1.0–60.8),FNR-PE
4Melamphaes sp.**,2,1.0,1.2,62,43.9,FNR
"Poromitra megalops (Lütken, 1878)",1-2,27.0,9.8,46 (25–59),1.8 (0.5–4.2),FNR-RN
Poromitra sp.**,1-2,28.0,11.0,85 (48–121),10.6 (1.3–37.3),FNR-PE-RN
"Scopeloberyx opercularis Zugmayer, 1911",2,1.0,1.2,32,3.9,FNR
"Scopeloberyx opisthopterus (Parr, 1933)",2,4.0,3.7,29 (25–32),2.7 (1.9–3.6),FNR
"Scopelogadus mizolepis (Günther, 1878)",1-2,19.0,9.8,54 (37–70),9.8 (0.8–39.1),FNR
OPHIDIIFORMES,,,,,,
Bythitidae,,,,,,
Bythitidae sp.*,2,2.0,2.4,87 (86–89),2.7 (2.6–2.8),FNR-PE
KURTIFORMES,,,,,,
Apogonidae,,,,,,
"Paroncheilus affinis (Poey, 1875)",1,1.0,1.2,28,4.2,RN
PERCIFORMES,,,,,,
Howellidae,,,,,,
"5Bathysphyraenops simplex Parr, 1933",1,3.0,3.7,65 (41–78),7.5 (5.0–9.0),FNR
"Howella atlantica Post & Quéro, 1991",2,25.0,8.5,58 (52–69),4.0 (2.6–6.5),FNR-PE
Bramidae,,,,,,
"Brama brama (Bonaterre, 1788)",2,1.0,1.2,28,1.0,FNR
"Brama caribbea Mead, 1972",1-2,64.0,15.9,25 (12–55),2.0 (0.4–9.8),FNR-PE-RN
"Taractichthys longipinnis (Lowe, 1843)",2,1.0,1.2,32,1.3,PE
Caristiidae,,,,,,
"6Paracaristius nudarcus Stevenson & Kenaley, 2011",2,1.0,1.2,175,181,FNR
"6Platyberyx andriashevi (Kukuev, Parin & Trunov, 2012)",2,3.0,2.4,68 (24–149),31.2 (1.1–87.8),FNR
"6Platyberyx paucus Stevenson & Kenaley, 2013",2,3.0,3.7,95 (92–98),33.4 (31.1–36.7),FNR-RN
"6Platyberyx pietschi Stevenson & Kenaley, 2013",2,1.0,1.2,74,9.2,RN
SCOMBROLABRACIFORMES,,,,,,
